seq,tag,dbh,year,vigor_base2017,basal_area,bai,rbai,sap_vol,ssc,syrup_vol,crownclass2018,strata.pre,crownclass2020,strata.post,crown.class,ftg2017,pct.open.jan.2019,FTG2019,crown.area.2017,numb.taps2017
13,2809,18.35,2020,251.64232415999996,264.45377016,4.019868518400017,1.5974532630067797,44.6,1.31,0.85,c,upper,c,upper,c,0,135,2,642.45,22.5
14,2827,NA,2016,70.13604023999999,NA,NA,NA,NA,NA,NA,i,lower,i,lower,i,0,90,1,173.5,1
14,2827,9.45,2017,70.13604023999999,70.13604023999999,NA,NA,16.79,1.03,0.23,i,lower,i,lower,i,0,90,1,173.5,1
14,2827,9.5,2018,70.13604023999999,70.880184,0.7441437600000143,1.0610005319000233,20.05715244,1.09,0.43,i,lower,i,lower,i,0,90,1,173.5,1
14,2827,9.59,2019,70.13604023999999,72.2295385056,1.3493545056000045,1.9239103048626927,37.6,1.1,0.5,i,lower,i,lower,i,0,90,1,173.5,1
14,2827,9.61,2020,70.13604023999999,72.5311228896,0.30158438399999454,0.42999916015788264,24.88,1.01,0.35,i,lower,i,lower,i,0,90,1,173.5,1
15,332,NA,2016,110.84357053440002,NA,NA,NA,NA,NA,NA,i,lower,i,lower,i,0,90,1,269.95,NA
15,332,11.88,2017,110.84357053440002,110.84357053440002,NA,NA,NA,NA,NA,i,lower,i,lower,i,0,90,1,269.95,NA
15,332,11.9,2018,110.84357053440002,111.21709536,0.37352482559998634,0.3369837544921596,23.87878112,1.27,0.38,i,lower,i,lower,i,0,90,1,269.95,NA
15,332,11.98,2019,110.84357053440002,112.71747767040002,1.5003823104000134,1.3536033738054059,54.7,1.3,0.8,i,lower,i,lower,i,0,90,1,269.95,NA
15,332,12.05,2020,110.84357053440002,114.03855864,1.3210809695999899,1.1918426691153872,41.74,1.1,0.63,i,lower,i,lower,i,0,90,1,269.95,NA
16,333,NA,2016,323.64559584,NA,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,45,1,949.66,NA
16,333,20.3,2017,323.64559584,323.64559584,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,45,1,949.66,NA
16,333,20.55,2018,323.64559584,331.66624824,8.020652400000017,2.478220777014735,36.03574111,1.71,1.71,c,upper,c,upper,c,0,45,1,949.66,NA
16,333,20.69,2019,323.64559584,336.20069511360003,4.534446873600018,1.4010531679972877,92.4,2,2.1,c,upper,c,upper,c,0,45,1,949.66,NA
